label,rep,size_bytes,size_label,transport,batch,n_requested,n_samples,leader,wall_ms,us_per_command,busy_retries,term,mean_us,p50_us,p99_us
unnamed,1,8192,8K,rdma,1,10000,10000,10.0.0.6:6001,9402.76,940.3,0,CommitWait,540.3,519.6,796.6
unnamed,1,8192,8K,rdma,1,10000,10000,10.0.0.6:6001,9402.76,940.3,0,residual,47.5,57.5,84.2
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,Total,982.6,1004.5,1277.5
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,LHandler,18.3,16.1,53.5
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,LPersist,181.1,172.6,314.3
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,AENet,111.3,127.4,200.6
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,FHandler,6.8,6.3,28.3
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,ReplNet,209.0,191.3,350.2
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,StorageIO,168.6,165.1,243.9
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,QuorumWait,216.1,215.8,371.5
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,Mutex,2.3,0.8,18.4
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,CommitWait,645.5,700.5,856.4
unnamed,1,16384,16K,rdma,1,10000,10000,10.0.0.6:6001,11592.31,1159.2,0,residual,71.5,88.4,112.7
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,Total,1079.5,1098.6,1473.5
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,LHandler,28.1,17.2,91.5
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,LPersist,204.8,192.3,357.6
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,AENet,138.5,136.6,210.2
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,FHandler,7.5,6.8,35.3
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,ReplNet,200.3,184.1,345.7
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,StorageIO,171.1,165.7,246.4
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,QuorumWait,217.4,221.1,381.1
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,Mutex,1.8,0.8,18.8
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,CommitWait,675.0,735.0,981.4
unnamed,1,32768,32K,rdma,1,10000,10000,10.0.0.6:6001,13015.09,1301.5,0,residual,111.8,118.7,180.3
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,Total,1417.8,1391.6,1868.1
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,LHandler,56.7,36.7,161.6
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,LPersist,291.8,275.9,436.1
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,AENet,158.9,177.3,214.5
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,FHandler,10.0,6.9,35.8
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,ReplNet,270.4,279.8,464.6
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,StorageIO,224.4,220.8,310.7
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,QuorumWait,215.0,206.8,405.8
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,Mutex,1.8,0.8,18.2
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,CommitWait,817.5,787.3,1092.8
unnamed,1,65536,64K,rdma,1,10000,10000,10.0.0.6:6001,17356.79,1735.7,0,residual,190.7,178.3,322.7
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,Total,1914.9,1897.7,2420.1
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,LHandler,70.6,47.5,221.0
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,LPersist,451.5,452.2,572.9
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,AENet,176.8,187.7,230.5
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,FHandler,8.5,7.1,35.6
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,ReplNet,369.2,391.3,506.7
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,StorageIO,323.9,317.2,456.0
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,QuorumWait,220.5,205.7,426.0
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,Mutex,2.3,0.8,19.1
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,CommitWait,1021.0,1018.0,1345.9
unnamed,1,131072,128K,rdma,1,10000,10000,10.0.0.6:6001,22986.39,2298.6,0,residual,294.0,259.4,534.1
