size_bytes,n_samples,term,mean_us,p50_us,p99_us,wall_ms,busy_retries
1024,10000,Total,809.7,734.8,1191.2,9266.69,0
1024,10000,LHandler,4.3,2.8,19.7,9266.69,0
1024,10000,LPersist,146.0,125.0,285.8,9266.69,0
1024,10000,AENet,58.0,56.6,101.0,9266.69,0
1024,10000,FHandler,3.3,2.7,22.7,9266.69,0
1024,10000,ReplNet,193.0,177.5,328.9,9266.69,0
1024,10000,StorageIO,151.6,149.3,207.3,9266.69,0
1024,10000,QuorumWait,229.4,203.3,428.4,9266.69,0
1024,10000,Mutex,16.6,0.8,17.1,9266.69,0
1024,10000,CommitWait,573.5,521.2,827.2,9266.69,0
1024,10000,residual,24.0,25.3,46.3,9266.69,0
2048,10000,Total,1034.6,1062.8,1465.0,11961.18,0
2048,10000,LHandler,5.8,4.5,22.6,11961.18,0
2048,10000,LPersist,196.9,185.5,309.0,11961.18,0
2048,10000,AENet,99.0,76.8,245.1,11961.18,0
2048,10000,FHandler,4.6,3.0,33.3,11961.18,0
2048,10000,ReplNet,251.9,264.8,361.8,11961.18,0
2048,10000,StorageIO,160.4,158.1,214.0,11961.18,0
2048,10000,QuorumWait,288.7,296.2,506.4,11961.18,0
2048,10000,Mutex,5.9,1.3,21.6,11961.18,0
2048,10000,CommitWait,710.9,738.7,1059.5,11961.18,0
2048,10000,residual,27.3,31.2,55.0,11961.18,0
4096,10000,Total,1057.3,1079.5,1483.6,12232.54,0
4096,10000,LHandler,9.8,6.1,37.7,12232.54,0
4096,10000,LPersist,205.6,192.3,340.8,12232.54,0
4096,10000,AENet,98.9,74.3,260.3,12232.54,0
4096,10000,FHandler,4.1,2.6,31.8,12232.54,0
4096,10000,ReplNet,257.3,267.8,369.1,12232.54,0
4096,10000,StorageIO,166.8,164.0,224.4,12232.54,0
4096,10000,QuorumWait,290.0,297.6,488.7,12232.54,0
4096,10000,Mutex,2.3,1.1,21.5,12232.54,0
4096,10000,CommitWait,719.1,734.4,1051.6,12232.54,0
4096,10000,residual,24.8,24.9,56.3,12232.54,0
8192,10000,Total,1048.2,1085.8,1479.8,12238.15,0
8192,10000,LHandler,21.6,14.4,62.8,12238.15,0
8192,10000,LPersist,216.8,208.0,350.8,12238.15,0
8192,10000,AENet,80.6,69.5,209.4,12238.15,0
8192,10000,FHandler,3.9,2.8,32.2,12238.15,0
8192,10000,ReplNet,248.7,260.3,359.2,12238.15,0
8192,10000,StorageIO,170.9,166.5,251.1,12238.15,0
8192,10000,QuorumWait,281.2,295.0,464.4,12238.15,0
8192,10000,Mutex,1.8,1.1,20.2,12238.15,0
8192,10000,CommitWait,691.1,724.0,1027.5,12238.15,0
8192,10000,residual,24.4,24.3,54.2,12238.15,0
16384,10000,Total,1133.3,1165.3,1595.5,13443.84,0
16384,10000,LHandler,42.6,48.3,79.2,13443.84,0
16384,10000,LPersist,245.8,235.4,369.9,13443.84,0
16384,10000,AENet,109.8,81.2,271.1,13443.84,0
16384,10000,FHandler,6.3,2.9,35.2,13443.84,0
16384,10000,ReplNet,238.9,252.4,376.8,13443.84,0
16384,10000,StorageIO,176.8,172.4,240.1,13443.84,0
16384,10000,QuorumWait,290.2,285.8,495.3,13443.84,0
16384,10000,Mutex,2.6,1.1,24.7,13443.84,0
16384,10000,CommitWait,717.2,738.9,1058.2,13443.84,0
16384,10000,residual,22.8,19.5,55.9,13443.84,0
32768,10000,Total,1376.5,1322.0,1706.6,16480.20,0
32768,10000,LHandler,71.5,85.3,119.8,16480.20,0
32768,10000,LPersist,311.7,306.2,406.3,16480.20,0
32768,10000,AENet,150.9,147.9,303.1,16480.20,0
32768,10000,FHandler,5.9,5.7,35.7,16480.20,0
32768,10000,ReplNet,293.6,297.7,432.0,16480.20,0
32768,10000,StorageIO,204.8,200.2,285.5,16480.20,0
32768,10000,QuorumWait,314.9,314.8,503.8,16480.20,0
32768,10000,Mutex,5.2,1.2,19.7,16480.20,0
32768,10000,CommitWait,854.7,788.9,1091.7,16480.20,0
32768,10000,residual,23.2,15.1,49.7,16480.20,0
65536,10000,Total,1577.9,1610.7,1917.3,19080.16,0
65536,10000,LHandler,99.9,95.4,187.9,19080.16,0
65536,10000,LPersist,378.7,377.1,481.1,19080.16,0
65536,10000,AENet,187.5,193.9,299.1,19080.16,0
65536,10000,FHandler,7.1,6.4,35.7,19080.16,0
65536,10000,ReplNet,315.3,312.0,450.6,19080.16,0
65536,10000,StorageIO,250.9,248.1,340.2,19080.16,0
65536,10000,QuorumWait,315.7,324.3,494.6,19080.16,0
65536,10000,Mutex,3.4,1.2,20.6,19080.16,0
65536,10000,CommitWait,958.5,997.6,1271.1,19080.16,0
65536,10000,residual,22.8,14.7,49.4,19080.16,0
131072,10000,Total,1999.6,1978.6,2469.9,25771.54,0
131072,10000,LHandler,149.4,76.3,334.5,25771.54,0
131072,10000,LPersist,564.3,573.7,669.5,25771.54,0
131072,10000,AENet,221.8,218.0,300.0,25771.54,0
131072,10000,FHandler,7.9,6.9,36.7,25771.54,0
131072,10000,ReplNet,373.5,379.5,494.9,25771.54,0
131072,10000,StorageIO,344.8,342.3,468.4,25771.54,0
131072,10000,QuorumWait,317.7,305.0,511.0,25771.54,0
131072,10000,Mutex,2.7,1.4,21.5,25771.54,0
131072,10000,CommitWait,1134.4,1096.6,1396.3,25771.54,0
131072,10000,residual,20.2,13.9,47.8,25771.54,0
