leader: 10.0.0.5:6001 (probe applied 1 command)
  batch=1 total=1918.8us LHandler=76.3 LPersist=594.5 AENet=209.7 FHandler=7.1 ReplNet=427.4 StorageIO=305.1 QuorumWait=286.7 Mutex=1.6 CommitWait=1102.7
  batch=1 total=1914.9us LHandler=75.0 LPersist=576.2 AENet=267.1 FHandler=7.0 ReplNet=377.5 StorageIO=346.5 QuorumWait=251.8 Mutex=1.4 CommitWait=1115.1
  batch=1 total=1797.2us LHandler=77.2 LPersist=567.6 AENet=155.2 FHandler=7.0 ReplNet=442.2 StorageIO=298.9 QuorumWait=213.8 Mutex=1.3 CommitWait=984.1
  batch=1 total=1919.9us LHandler=69.6 LPersist=438.6 AENet=263.0 FHandler=7.6 ReplNet=374.4 StorageIO=332.4 QuorumWait=398.7 Mutex=1.5 CommitWait=1228.5
  batch=1 total=2063.0us LHandler=72.4 LPersist=541.8 AENet=185.1 FHandler=7.2 ReplNet=441.7 StorageIO=411.4 QuorumWait=390.6 Mutex=1.2 CommitWait=1324.4
  batch=1 total=2153.7us LHandler=74.5 LPersist=603.5 AENet=235.2 FHandler=7.0 ReplNet=427.4 StorageIO=339.8 QuorumWait=452.9 Mutex=1.7 CommitWait=1308.7
  batch=1 total=2125.3us LHandler=94.6 LPersist=561.0 AENet=239.8 FHandler=7.0 ReplNet=444.5 StorageIO=310.6 QuorumWait=452.8 Mutex=1.3 CommitWait=1319.3
  batch=1 total=2085.0us LHandler=74.3 LPersist=568.7 AENet=209.3 FHandler=7.1 ReplNet=469.4 StorageIO=356.3 QuorumWait=386.1 Mutex=1.5 CommitWait=1292.3
  batch=1 total=1977.3us LHandler=75.1 LPersist=468.2 AENet=181.3 FHandler=7.0 ReplNet=449.9 StorageIO=367.2 QuorumWait=393.7 Mutex=1.6 CommitWait=1235.5
  batch=1 total=1769.2us LHandler=72.0 LPersist=463.9 AENet=132.2 FHandler=4.8 ReplNet=292.5 StorageIO=314.8 QuorumWait=475.6 Mutex=1.1 CommitWait=1090.8
  batch=1 total=1904.5us LHandler=74.0 LPersist=570.2 AENet=210.3 FHandler=6.9 ReplNet=429.1 StorageIO=345.8 QuorumWait=254.9 Mutex=1.4 CommitWait=1082.5
  batch=1 total=2104.6us LHandler=74.4 LPersist=568.4 AENet=147.3 FHandler=7.1 ReplNet=416.2 StorageIO=352.8 QuorumWait=523.6 Mutex=1.5 CommitWait=1300.6
  batch=1 total=1843.8us LHandler=73.6 LPersist=576.5 AENet=221.7 FHandler=4.9 ReplNet=405.3 StorageIO=317.3 QuorumWait=233.0 Mutex=1.5 CommitWait=1048.9
  batch=1 total=1946.6us LHandler=76.5 LPersist=485.3 AENet=242.1 FHandler=11.7 ReplNet=391.5 StorageIO=330.2 QuorumWait=375.8 Mutex=1.3 CommitWait=1215.2
  batch=1 total=1828.4us LHandler=73.1 LPersist=564.6 AENet=202.4 FHandler=13.5 ReplNet=392.2 StorageIO=304.9 QuorumWait=263.9 Mutex=1.4 CommitWait=1065.7
  batch=1 total=2117.8us LHandler=73.6 LPersist=581.1 AENet=272.8 FHandler=7.0 ReplNet=403.5 StorageIO=363.2 QuorumWait=402.6 Mutex=1.5 CommitWait=1303.5
  batch=1 total=1885.4us LHandler=73.5 LPersist=561.9 AENet=194.2 FHandler=7.0 ReplNet=440.4 StorageIO=392.1 QuorumWait=204.7 Mutex=1.2 CommitWait=1102.3
  batch=1 total=2011.9us LHandler=75.1 LPersist=560.8 AENet=263.5 FHandler=7.1 ReplNet=355.6 StorageIO=323.3 QuorumWait=386.2 Mutex=1.6 CommitWait=1201.8
  batch=1 total=2021.4us LHandler=72.8 LPersist=501.5 AENet=197.6 FHandler=7.1 ReplNet=432.1 StorageIO=374.4 QuorumWait=423.1 Mutex=1.1 CommitWait=1316.6
  batch=1 total=1974.7us LHandler=74.3 LPersist=649.1 AENet=164.8 FHandler=7.1 ReplNet=392.6 StorageIO=361.9 QuorumWait=312.6 Mutex=1.6 CommitWait=1104.2
  batch=1 total=1941.2us LHandler=95.4 LPersist=564.2 AENet=240.5 FHandler=7.1 ReplNet=440.5 StorageIO=344.0 QuorumWait=237.9 Mutex=1.3 CommitWait=1135.9
  batch=1 total=1883.2us LHandler=76.5 LPersist=591.2 AENet=213.3 FHandler=7.0 ReplNet=424.6 StorageIO=356.3 QuorumWait=181.6 Mutex=1.5 CommitWait=1049.1
  batch=1 total=2016.6us LHandler=73.4 LPersist=496.3 AENet=259.5 FHandler=7.1 ReplNet=362.8 StorageIO=356.3 QuorumWait=397.8 Mutex=1.5 CommitWait=1252.2
  batch=1 total=1934.4us LHandler=69.1 LPersist=443.8 AENet=234.3 FHandler=4.8 ReplNet=411.5 StorageIO=329.4 QuorumWait=398.5 Mutex=1.1 CommitWait=1269.4
  batch=1 total=1919.3us LHandler=72.4 LPersist=584.3 AENet=271.9 FHandler=7.0 ReplNet=396.4 StorageIO=362.3 QuorumWait=213.4 Mutex=1.2 CommitWait=1136.3
  batch=1 total=2113.8us LHandler=76.1 LPersist=571.8 AENet=241.6 FHandler=7.1 ReplNet=424.9 StorageIO=330.3 QuorumWait=446.7 Mutex=1.6 CommitWait=1320.7
  batch=1 total=1770.4us LHandler=76.2 LPersist=548.8 AENet=198.5 FHandler=7.0 ReplNet=359.3 StorageIO=311.5 QuorumWait=256.2 Mutex=1.4 CommitWait=979.3
  batch=1 total=1683.3us LHandler=69.9 LPersist=468.3 AENet=194.6 FHandler=7.1 ReplNet=429.4 StorageIO=319.2 QuorumWait=159.1 Mutex=1.2 CommitWait=975.9
  batch=1 total=2124.1us LHandler=86.6 LPersist=586.4 AENet=247.5 FHandler=7.1 ReplNet=417.6 StorageIO=360.6 QuorumWait=405.6 Mutex=1.4 CommitWait=1323.3
